case_id	name	category	signature	expected_hex	inspiration
case_0000	crc32-bitwise--add-carry-add-carry-add-carry-000	checksums	add-carry,add-carry,add-carry,short-circuit,switch-phi,halfword-swap,popcount-loop,counted-loop,add-carry,sub-borrow,minmax-clamp,reverse-loop	0xa32f29f7	https://github.com/embench/embench-iot
case_0001	crc32-bitwise--sub-borrow-add-carry-add-carry-001	checksums	sub-borrow,add-carry,add-carry,popcount-loop,divide-rem,reverse-loop,multiply-low,switch-phi,horner-loop,short-circuit,add-carry,horner-loop	0x4d2e2c07	https://github.com/embench/embench-iot
case_0002	crc32-bitwise--rotate-mix-add-carry-add-carry-002	checksums	rotate-mix,add-carry,add-carry,carry-chain,add-carry,divide-rem,multiply-low,rotate-mix,halfword-swap,counted-loop,compare-select,multiply-low	0x80b50857	https://github.com/embench/embench-iot
case_0003	crc32-bitwise--multiply-low-add-carry-add-carry-003	checksums	multiply-low,add-carry,add-carry,horner-loop,gray-decode,reverse-loop,array-scatter,multiply-low,multiply-low,horner-loop,reverse-loop,compare-select	0xea9f0272	https://github.com/embench/embench-iot
case_0004	crc32-bitwise--divide-rem-add-carry-add-carry-004	checksums	divide-rem,add-carry,add-carry,sub-borrow,popcount-loop,mask-merge,divide-rem,byte-pack,add-carry,add-carry,minmax-clamp,counted-loop	0xc8a2d904	https://github.com/embench/embench-iot
case_0005	crc32-bitwise--mask-merge-add-carry-add-carry-005	checksums	mask-merge,add-carry,add-carry,add-carry,rotate-mix,byte-pack,counted-loop,compare-select,gray-decode,array-scatter,short-circuit,multiply-low	0xb9cfad8b	https://github.com/embench/embench-iot
case_0006	crc32-bitwise--compare-select-add-carry-add-carry-006	checksums	compare-select,add-carry,add-carry,byte-pack,compare-select,sub-borrow,counted-loop,gray-decode,short-circuit,byte-pack,rotate-mix,gray-decode	0xe37b2801	https://github.com/embench/embench-iot
case_0007	crc32-bitwise--byte-pack-add-carry-add-carry-007	checksums	byte-pack,add-carry,add-carry,compare-select,array-scatter,byte-pack,minmax-clamp,reverse-loop,multiply-low,carry-chain,counted-loop,reverse-loop	0xa892e392	https://github.com/embench/embench-iot
case_0008	crc32-bitwise--halfword-swap-add-carry-add-carry-008	checksums	halfword-swap,add-carry,add-carry,rotate-mix,byte-pack,byte-pack,byte-pack,array-scatter,popcount-loop,horner-loop,horner-loop,divide-rem	0xa7bcd146	https://github.com/embench/embench-iot
case_0009	crc32-bitwise--array-scatter-add-carry-add-carry-009	checksums	array-scatter,add-carry,add-carry,multiply-low,halfword-swap,mask-merge,popcount-loop,halfword-swap,carry-chain,rotate-mix,multiply-low,mask-merge	0x5c6ddfd6	https://github.com/embench/embench-iot
case_0010	crc32-bitwise--counted-loop-add-carry-add-carry-00a	checksums	counted-loop,add-carry,add-carry,divide-rem,add-carry,switch-phi,mask-merge,sub-borrow,endian-swap,add-carry,sub-borrow,array-scatter	0xf131fff3	https://github.com/embench/embench-iot
case_0011	crc32-bitwise--switch-phi-add-carry-add-carry-00b	checksums	switch-phi,add-carry,add-carry,mask-merge,byte-pack,array-scatter,byte-pack,divide-rem,compare-select,array-scatter,mask-merge,halfword-swap	0x080ab20b	https://github.com/embench/embench-iot
case_0012	crc32-bitwise--short-circuit-add-carry-add-carry-00c	checksums	short-circuit,add-carry,add-carry,switch-phi,endian-swap,counted-loop,carry-chain,add-carry,mask-merge,counted-loop,gray-decode,halfword-swap	0x1a45f088	https://github.com/embench/embench-iot
case_0013	crc32-bitwise--popcount-loop-add-carry-add-carry-00d	checksums	popcount-loop,add-carry,add-carry,counted-loop,carry-chain,minmax-clamp,short-circuit,sub-borrow,compare-select,multiply-low,switch-phi,sub-borrow	0xa98a9fd8	https://github.com/embench/embench-iot
case_0014	crc32-bitwise--reverse-loop-add-carry-add-carry-00e	checksums	reverse-loop,add-carry,add-carry,popcount-loop,carry-chain,rotate-mix,halfword-swap,add-carry,endian-swap,sub-borrow,endian-swap,array-scatter	0xd956ecb0	https://github.com/embench/embench-iot
case_0015	crc32-bitwise--gray-decode-add-carry-add-carry-00f	checksums	gray-decode,add-carry,add-carry,short-circuit,array-scatter,minmax-clamp,carry-chain,mask-merge,compare-select,add-carry,endian-swap,short-circuit	0x37988bea	https://github.com/embench/embench-iot
case_0016	crc32-bitwise--minmax-clamp-add-carry-add-carry-010	checksums	minmax-clamp,add-carry,add-carry,add-carry,gray-decode,compare-select,halfword-swap,mask-merge,sub-borrow,array-scatter,mask-merge,halfword-swap	0x8f22d05e	https://github.com/embench/embench-iot
case_0017	crc32-bitwise--endian-swap-add-carry-add-carry-011	checksums	endian-swap,add-carry,add-carry,mask-merge,add-carry,halfword-swap,carry-chain,minmax-clamp,compare-select,divide-rem,array-scatter,mask-merge	0xbce5bcac	https://github.com/embench/embench-iot
case_0018	crc32-bitwise--carry-chain-add-carry-add-carry-012	checksums	carry-chain,add-carry,add-carry,compare-select,halfword-swap,rotate-mix,compare-select,mask-merge,endian-swap,reverse-loop,switch-phi,array-scatter	0x77c2a367	https://github.com/embench/embench-iot
case_0019	crc32-bitwise--horner-loop-add-carry-add-carry-013	checksums	horner-loop,add-carry,add-carry,switch-phi,gray-decode,add-carry,halfword-swap,short-circuit,reverse-loop,byte-pack,switch-phi,divide-rem	0xa2db026c	https://github.com/embench/embench-iot
case_0020	crc32-bitwise--add-carry-sub-borrow-add-carry-014	checksums	add-carry,sub-borrow,add-carry,sub-borrow,sub-borrow,byte-pack,popcount-loop,short-circuit,sub-borrow,minmax-clamp,sub-borrow,short-circuit	0x0f53dac1	https://github.com/embench/embench-iot
case_0021	crc32-bitwise--sub-borrow-sub-borrow-add-carry-015	checksums	sub-borrow,sub-borrow,add-carry,divide-rem,rotate-mix,endian-swap,multiply-low,endian-swap,reverse-loop,mask-merge,endian-swap,popcount-loop	0xa842569c	https://github.com/embench/embench-iot
case_0022	crc32-bitwise--rotate-mix-sub-borrow-add-carry-016	checksums	rotate-mix,sub-borrow,add-carry,byte-pack,counted-loop,byte-pack,switch-phi,divide-rem,array-scatter,horner-loop,byte-pack,array-scatter	0xface9f4e	https://github.com/embench/embench-iot
case_0023	crc32-bitwise--multiply-low-sub-borrow-add-carry-017	checksums	multiply-low,sub-borrow,add-carry,counted-loop,mask-merge,popcount-loop,array-scatter,mask-merge,compare-select,counted-loop,switch-phi,minmax-clamp	0xcce8cceb	https://github.com/embench/embench-iot
case_0024	crc32-bitwise--divide-rem-sub-borrow-add-carry-018	checksums	divide-rem,sub-borrow,add-carry,counted-loop,multiply-low,popcount-loop,counted-loop,reverse-loop,halfword-swap,switch-phi,compare-select,counted-loop	0x133f72be	https://github.com/embench/embench-iot
case_0025	crc16-ccitt--mask-merge-sub-borrow-add-carry-019	checksums	mask-merge,sub-borrow,add-carry,gray-decode,minmax-clamp,switch-phi,short-circuit,gray-decode,byte-pack,compare-select,carry-chain,horner-loop	0xb8d304b8	https://github.com/embench/embench-iot
case_0026	crc16-ccitt--compare-select-sub-borrow-add-carry-01a	checksums	compare-select,sub-borrow,add-carry,short-circuit,short-circuit,array-scatter,halfword-swap,compare-select,add-carry,add-carry,minmax-clamp,multiply-low	0x0bfb829f	https://github.com/embench/embench-iot
case_0027	crc16-ccitt--byte-pack-sub-borrow-add-carry-01b	checksums	byte-pack,sub-borrow,add-carry,endian-swap,switch-phi,horner-loop,carry-chain,gray-decode,byte-pack,endian-swap,minmax-clamp,counted-loop	0xdff93f70	https://github.com/embench/embench-iot
case_0028	crc16-ccitt--halfword-swap-sub-borrow-add-carry-01c	checksums	halfword-swap,sub-borrow,add-carry,switch-phi,array-scatter,halfword-swap,byte-pack,multiply-low,add-carry,carry-chain,compare-select,compare-select	0xd624966a	https://github.com/embench/embench-iot
case_0029	crc16-ccitt--array-scatter-sub-borrow-add-carry-01d	checksums	array-scatter,sub-borrow,add-carry,reverse-loop,rotate-mix,compare-select,endian-swap,counted-loop,multiply-low,multiply-low,compare-select,switch-phi	0x7f2478e6	https://github.com/embench/embench-iot
case_0030	crc16-ccitt--counted-loop-sub-borrow-add-carry-01e	checksums	counted-loop,sub-borrow,add-carry,popcount-loop,reverse-loop,short-circuit,endian-swap,gray-decode,divide-rem,popcount-loop,minmax-clamp,gray-decode	0x13a5a447	https://github.com/embench/embench-iot
case_0031	crc16-ccitt--switch-phi-sub-borrow-add-carry-01f	checksums	switch-phi,sub-borrow,add-carry,minmax-clamp,endian-swap,counted-loop,gray-decode,counted-loop,byte-pack,halfword-swap,add-carry,counted-loop	0x52db5819	https://github.com/embench/embench-iot
case_0032	crc16-ccitt--short-circuit-sub-borrow-add-carry-020	checksums	short-circuit,sub-borrow,add-carry,minmax-clamp,compare-select,endian-swap,gray-decode,halfword-swap,counted-loop,endian-swap,endian-swap,sub-borrow	0xecd9c02e	https://github.com/embench/embench-iot
case_0033	crc16-ccitt--popcount-loop-sub-borrow-add-carry-021	checksums	popcount-loop,sub-borrow,add-carry,endian-swap,popcount-loop,switch-phi,array-scatter,endian-swap,array-scatter,add-carry,endian-swap,halfword-swap	0x1915c594	https://github.com/embench/embench-iot
case_0034	crc16-ccitt--reverse-loop-sub-borrow-add-carry-022	checksums	reverse-loop,sub-borrow,add-carry,counted-loop,popcount-loop,endian-swap,mask-merge,minmax-clamp,compare-select,compare-select,multiply-low,divide-rem	0x029ee9f5	https://github.com/embench/embench-iot
